RGDPPC,LFPR,INV,PRD
43212.00,65.10000,10067,76.267
43127.00,64.83334,16914,76.204
43050.00,64.73333,13111,75.716
43086.00,64.60000,6851,75.818
43074.00,64.73333,2236,75.408
43282.00,64.63333,-6982,75.426
43504.00,64.70000,2043,75.441
43704.00,64.60000,9423,75.999
44225.00,64.66666,4944,77.052
44623.00,64.73333,10625,77.621
45019.00,64.93333,13592,77.658
45320.00,65.00000,14488,78.322
45908.00,64.96667,17358,79.738
45854.00,65.00000,8374,79.29
46156.00,65.26667,-3425,79.601
46663.00,65.33334,5494,80.207
47461.00,65.43333,1847,81.995
47766.00,65.60000,5752,81.632
48377.00,65.56667,3907,83.167
48909.00,65.46667,17092,83.207
49619.00,65.73333,17497,84.871
50092.00,65.66666,16387,85.832
50454.00,65.76667,17026,86.699
50392.00,66.00000,11458,86.105
50609.00,65.93333,-2743,86.281
50626.00,65.96667,-1148,87.267
50412.00,65.80000,-7576,87.808
50538.00,66.03333,-17563,88.845
51211.00,66.36667,-19499,89.174
51376.00,66.66666,-32,88.937
51644.00,67.03333,-544,89.303
51776.00,67.23333,4457,89.089
52017.00,67.50000,14429,89.072
51826.00,67.50000,14360,89.618
51867.00,67.56667,-3150,89.42
52069.00,67.63333,1842,88.895
52383.00,67.56667,-3539,88.829
52889.00,67.56667,-5998,89.341
53356.00,67.36667,15178,90.334
53575.00,67.46667,24093,90.703
53701.00,67.30000,21887,90.657
53978.00,67.13333,11952,91.279
54459.00,67.13333,14519,92.515
54812.00,67.06667,10931,93.058
55186.00,67.16666,18445,93.527
55086.00,67.26667,19174,92.737
55070.00,67.23333,13731,93.248
55103.00,67.16666,44,93.566
55392.00,67.43333,3856,93.791
55811.00,67.36667,570,93.719
55845.00,67.50000,18357,93.356
55727.00,67.66666,23227,92.487
55687.00,67.70000,11118,91.974
55760.00,67.56667,8236,92.293
56015.00,67.43333,16800,93.425
55157.00,67.60000,8777,93.011
53824.00,67.43333,5474,92.201
53109.00,67.43333,-8724,92.417
53160.00,67.10000,-4779,92.407
53573.00,67.16666,-5403,93.248
54141.00,66.96667,4407,92.841
54293.00,67.13333,-5411,92.132
54488.00,67.23333,4900,92.662
54895.00,66.96667,-6825,92.975
55258.00,67.10000,11691,93.793
55255.00,66.93333,18831,94.025
55833.00,66.73333,11110,94.796
56084.00,66.60000,12899,95.288
56024.00,66.50000,7176,94.904
56083.00,66.73333,6758,94.163
55963.00,66.76667,11236,93.694
55883.00,66.90000,6365,93.704
56307.00,66.80000,16650,94.258
56510.00,66.80000,13293,94.675
56773.00,66.63333,20225,95.902
57158.00,66.50000,25883,97.278
57193.00,66.33334,22680,97.055
57595.00,66.23333,10406,98.903
57960.00,66.13333,5842,99.597
58162.00,66.00000,8687,99.964
57813.00,66.10000,14284,99.318
57597.00,66.06667,9598,98.073
57645.00,66.06667,-9116,97.911
57491.00,66.00000,-6372,97.93
57754.00,65.93333,-4863,98.194
57309.00,65.83334,6058,97.782
57678.00,65.70000,7136,99.173
57767.00,65.76667,-3177,99.142
58404.00,65.96667,4094,100.556
58883.00,66.00000,20653,100.263
58663.00,65.93333,29369,99.213
58676.00,66.10000,19020,99.982
59230.00,65.80000,27335,100.578
59527.00,65.66666,23786,101.053
59555.00,65.80000,17087,100.364
59396.00,65.83334,18580,99.594
59415.00,66.03333,29199,99.519
59905.00,66.06667,19587,99.441
59783.00,66.03333,9360,100.548
59621.00,65.80000,12226,102.857
58304.00,65.13333,16961,107.108
51783.00,62.00000,-24556,115.319
56455.00,64.96667,-29778,107.996
57517.00,65.46667,-3438,106.451
58450.00,65.20000,2220,105.815
58255.00,65.23333,7187,104.164
59274.00,65.70000,1472,103.902
60011.00,65.73333,29843,102.716
60447.00,65.56667,24931,103.463
60933.00,65.60000,51214,104.285
61020.00,65.33334,55297,104.951
60539.00,65.53333,28605,104.158
60840.00,65.80000,14168,103.52
60591.00,65.76667,10994,102.796
60134.00,65.80000,10278,102.306
59543.00,65.80000,8208,102.369
59598.00,65.56667,9294,102.542
59695.00,65.56667,15824,103.044
59787.00,65.30000,12432,103.743
59870.00,65.36667,-11408,104.493
